"score"	"mechanisms"	"title"	"year"	"families"	"backends"	"arxiv_ids"	"dois"	"openalex_ids"	"venues"	"cited_by_count"	"prior_search_duplicate"	"relevance_reasons"	"authors"	"urls"	"abstract"
"21"	"representation_trainability_ceiling;shared_cross_modal_factorization"	"A$_3$B$_2$: Adaptive Asymmetric Adapter for Alleviating Branch Bias in Vision-Language Image Classification with Few-Shot Learning"	"2026"	"factorization_shared_rule;trainability_adapter_expressivity"	"openalex"	"2605.13161"	""	"https://openalex.org/W7161353826"	"arXiv (Cornell University)"	"0"	"False"	"direct-generative-vlm;trainability-or-expressivity;directional-generalization;mechanism-intervention;multi-query"	"Chang Yao;Jingyuan Chen;Kunxi Li;Mingjing Xu;Wenkang Han;Yiyun Zhou;Zhonghua Jiang"	"https://arxiv.org/abs/2605.13161;https://arxiv.org/pdf/2605.13161"	"Efficient transfer learning methods for large-scale vision-language models ($e.g.$, CLIP) enable strong few-shot transfer, yet existing adaptation methods follow a fixed fine-tuning paradigm that implicitly assumes a uniform importance of the image and text branches, which has not been systematically studied in image classification. Through extensive analysis, we reveal a Branch Bias issue in vision-language image classification: adapting the image encoder does not always improve performance under out-of-distribution settings. Motivated by this observation, we propose A$_3$B$_2$, an Adaptive Asymmetric Adapter that alleviates Branch Bias in few-shot learning. A$_3$B$_2$ introduces Uncertainty-Aware Adapter Dampening (UAAD), which automatically suppresses image-branch adaptation when prediction uncertainty is high, enabling soft and data-driven control without manual intervention. Architecturally, A$_3$B$_2$ adopts a lightweight asymmetric design inspired by mixture-of-experts with Load Balancing Regularization. Extensive experiments on three few-shot image classification tasks across 11 datasets demonstrate that A$_3$B$_2$ consistently outperforms 11 competitive prompt- and adapter-based baselines."
"19"	"autoregressive_visual_credit"	"Generalizing from SIMPLE to HARD Visual Reasoning: Can We Mitigate Modality Imbalance in VLMs?"	"2025"	"credit_modality_imbalance"	"openalex"	"2501.02669"	"https://doi.org/10.48550/arxiv.2501.02669"	"https://openalex.org/W4406122477"	"arXiv (Cornell University)"	"0"	"False"	"direct-generative-vlm;credit-or-imbalance;directional-generalization;mechanism-intervention"	"Abhishek Panigrahi;Anirudh Goyal;Cheng, Yun;Dingli Yu;Sanjeev Arora;Simon Park"	"http://arxiv.org/abs/2501.02669;https://arxiv.org/pdf/2501.02669;https://doi.org/10.48550/arxiv.2501.02669"	"Vision Language Models (VLMs) are impressive at visual question answering and image captioning. But they underperform on multi-step visual reasoning -- even compared to LLMs on the same tasks presented in text form -- giving rise to perceptions of modality imbalance or brittleness. Towards a systematic study of such issues, we introduce a synthetic framework for assessing the ability of VLMs to perform algorithmic visual reasoning, comprising three tasks: Table Readout, Grid Navigation, and Visual Analogy. Each has two levels of difficulty, SIMPLE and HARD, and even the SIMPLE versions are difficult for frontier VLMs. We propose strategies for training on the SIMPLE version of tasks that improve performance on the corresponding HARD task, i.e., simple-to-hard (S2H) generalization. This controlled setup, where each task also has an equivalent text-only version, allows a quantification of the modality imbalance and how it is impacted by training strategy. We show that 1) explicit image-to-text conversion is important in promoting S2H generalization on images, by transferring reasoning from text; 2) conversion can be internalized at test time. We also report results of mechanistic study of this phenomenon. We identify measures of gradient alignment that can identify training strategies that promote better S2H generalization. Ablations highlight the importance of chain-of-thought."
"18"	"shared_cross_modal_factorization"	"Decomposed Soft Prompt Guided Fusion Enhancing for Compositional Zero-Shot Learning"	"2022"	"factorization_multimodal_composition"	"openalex"	"2211.10681"	"https://doi.org/10.48550/arxiv.2211.10681"	"https://openalex.org/W4309797799"	"arXiv (Cornell University)"	"2"	"False"	"direct-generative-vlm;factorization-or-rule-reuse;directional-generalization"	"Jingcai Guo;Song Guo;Xiaocheng Lu;Ziming Liu"	"http://arxiv.org/abs/2211.10681;https://arxiv.org/pdf/2211.10681;https://doi.org/10.48550/arxiv.2211.10681"	"Compositional Zero-Shot Learning (CZSL) aims to recognize novel concepts formed by known states and objects during training. Existing methods either learn the combined state-object representation, challenging the generalization of unseen compositions, or design two classifiers to identify state and object separately from image features, ignoring the intrinsic relationship between them. To jointly eliminate the above issues and construct a more robust CZSL system, we propose a novel framework termed Decomposed Fusion with Soft Prompt (DFSP)1, by involving vision-language models (VLMs) for unseen composition recognition. Specifically, DFSP constructs a vector combination of learnable soft prompts with state and object to establish the joint representation of them. In addition, a cross-modal decomposed fusion module is designed between the language and image branches, which decomposes state and object among language features instead of image features. Notably, being fused with the decomposed features, the image features can be more expressive for learning the relationship with states and objects, respectively, to improve the response of unseen compositions in the pair space, hence narrowing the domain gap between seen and unseen sets. Experimental results on three challenging benchmarks demonstrate that our approach significantly outperforms other state-of-the-art methods by large margins."
"18"	"representation_trainability_ceiling"	"Troika: Multi-Path Cross-Modal Traction for Compositional Zero-Shot Learning"	"2023"	"trainability_frozen_encoder"	"openalex"	"2303.15230"	"https://doi.org/10.48550/arxiv.2303.15230"	"https://openalex.org/W4361194175"	"arXiv (Cornell University)"	"1"	"False"	"direct-generative-vlm;factorization-or-rule-reuse;directional-generalization"	"Biao Gong;Donglin Wang;Siteng Huang;Yiliang Lv;Yutong Feng;Zhang, Min"	"http://arxiv.org/abs/2303.15230;https://arxiv.org/pdf/2303.15230;https://doi.org/10.48550/arxiv.2303.15230"	"Recent compositional zero-shot learning (CZSL) methods adapt pre-trained vision-language models (VLMs) by constructing trainable prompts only for composed state-object pairs. Relying on learning the joint representation of seen compositions, these methods ignore the explicit modeling of the state and object, thus limiting the exploitation of pre-trained knowledge and generalization to unseen compositions. With a particular focus on the universality of the solution, in this work, we propose a novel paradigm for CZSL models that establishes three identification branches (i.e., Multi-Path) to jointly model the state, object, and composition. The presented Troika is our implementation that aligns the branch-specific prompt representations with decomposed visual features. To calibrate the bias between semantically similar multi-modal representations, we further devise a Cross-Modal Traction module into Troika that shifts the prompt representation towards the current visual content. We conduct extensive experiments on three popular benchmarks, where our method significantly outperforms existing methods in both closed-world and open-world settings. The code will be available at https://github.com/bighuang624/Troika."
"18"	"representation_trainability_ceiling"	"Unveiling the Visual Counting Bottleneck in Vision-Language Models"	"2026"	"trainability_frozen_encoder"	"openalex"	"2605.30170"	""	"https://openalex.org/W7162893097"	"arXiv (Cornell University)"	"0"	"True"	"direct-generative-vlm;factorization-or-rule-reuse;directional-generalization"	"Junling Wang;Mrinmaya Sachan;Xingzhou Pang;Yifan Hou"	"https://arxiv.org/abs/2605.30170;https://arxiv.org/pdf/2605.30170"	"While Large Vision-Language Models (VLMs) excel at interpolation, they suffer catastrophic failures in systematic generalization, most notably in visual counting. In this work, we investigate this extrapolation bottleneck by deconstructing visual counting into three cognitive stages: visual individuation, magnitude awareness, and symbolic mapping. Using synthetic Go boards and linear probes, we demonstrate that visual backbones maintain robust, linearly separable representations of quantity well into the extrapolation regime, ruling out perceptual failure. Furthermore, models retain latent magnitude awareness, successfully performing comparative reasoning on quantities they fail to enumerate. We pinpoint the collapse to the symbolic mapping stage, where the model fails to project valid visual magnitudes onto symbolic tokens. Our findings support a frac tured magnitude hypothesis: VLMs fail to acquire a universal number space, instead learning disjoint, modality-specific statistical manifolds that prevent cross-modal grounding for unseen quantities. Validated on the state-of-the-art foundation model, our results suggest that bridging this gap requires inductive priors enforcing unified representations, as data scaling alone is insufficient."
"17"	"representation_trainability_ceiling"	"CrackCLIP: Adapting Vision-Language Models for Weakly Supervised Crack Segmentation"	"2025"	"trainability_frozen_encoder"	"openalex"	""	"https://doi.org/10.3390/e27020127"	"https://openalex.org/W4406846440"	"DOAJ (DOAJ: Directory of Open Access Journals);Entropy;MDPI (MDPI AG);PubMed;PubMed Central;VBN Forskningsportal (Aalborg Universitet)"	"16"	"False"	"direct-generative-vlm;trainability-or-expressivity;directional-generalization"	"Fengjiao Liang;Haomin Yu;Qingyong Li;Wen Wang"	"https://doaj.org/article/d0bc79140548413fbe5369994e53760e;https://doi.org/10.3390/e27020127;https://dx.doi.org/10.3390/e27020127;https://pmc.ncbi.nlm.nih.gov/articles/PMC11854218/pdf/entropy-27-00127.pdf;https://pubmed.ncbi.nlm.nih.gov/40003124;https://vbn.aau.dk/da/publications/5b3f0b25-fb3c-4b44-ae0f-8f655a3ff0e9;https://vbn.aau.dk/ws/files/815966160/entropy-27-00127-v2.pdf;https://www.mdpi.com/1099-4300/27/2/127/pdf?version=1737799618;https://www.ncbi.nlm.nih.gov/pmc/articles/11854218"	"Weakly supervised crack segmentation aims to create pixel-level crack masks with minimal human annotation, which often only differentiate between crack and normal no-crack patches. This task is crucial for assessing structural integrity and safety in real-world industrial applications, where manually labeling the location of cracks at the pixel level is both labor-intensive and impractical. Addressing the challenges of labeling uncertainty, this paper presents CrackCLIP, a novel approach that leverages language prompts to augment the semantic context and employs the Contrastive Language-Image Pre-Training (CLIP) model to enhance weakly supervised crack segmentation. Initially, a gradient-based class activation map is used to generate pixel-level coarse pseudo-labels from a trained crack patch classifier. The estimated coarse pseudo-labels are utilized to fine-tune additional linear adapters, which are integrated into the frozen image encoders of CLIP to adapt the CLIP model to the specialized task of crack segmentation. Moreover, specific textual prompts are crafted for crack characteristics, which are input into the frozen text encoder of CLIP to extract features encapsulating the semantic essence of the cracks. The final crack segmentation is determined by comparing the similarity between text prompt features and visual patch token features. Comparative experiments on the Crack500, CFD, and DeepCrack datasets demonstrate that the proposed framework outperforms existing weakly supervised crack segmentation methods, and the pre-trained vision-language model exhibits strong potential for crack feature learning, thereby enhancing the overall performance and generalization capabilities of the proposed framework."
"17"	"representation_trainability_ceiling"	"Intriguing Properties of Large Language and Vision Models"	"2024"	"trainability_vision_connector"	"openalex"	"2410.04751"	"https://doi.org/10.48550/arxiv.2410.04751"	"https://openalex.org/W4403322880"	"arXiv (Cornell University)"	"0"	"False"	"direct-generative-vlm;trainability-or-expressivity;directional-generalization"	"Byungsoo Ko;H.T. Kim;Ho‐Jin Choi;Yechan Hwang;Young‐Jun Lee"	"http://arxiv.org/abs/2410.04751;https://arxiv.org/pdf/2410.04751;https://doi.org/10.48550/arxiv.2410.04751"	"Recently, large language and vision models (LLVMs) have received significant attention and development efforts due to their remarkable generalization performance across a wide range of tasks requiring perception and cognitive abilities. A key factor behind their success is their simple architecture, which consists of a vision encoder, a projector, and a large language model (LLM). Despite their achievements in advanced reasoning tasks, their performance on fundamental perception-related tasks (e.g., MMVP) remains surprisingly low. This discrepancy raises the question of how LLVMs truly perceive images and exploit the advantages of the vision encoder. To address this, we systematically investigate this question regarding several aspects: permutation invariance, robustness, math reasoning, alignment preserving and importance, by evaluating the most common LLVM's families (i.e., LLaVA) across 10 evaluation benchmarks. Our extensive experiments reveal several intriguing properties of current LLVMs: (1) they internally process the image in a global manner, even when the order of visual patch sequences is randomly permuted; (2) they are sometimes able to solve math problems without fully perceiving detailed numerical information; (3) the cross-modal alignment is overfitted to complex reasoning tasks, thereby, causing them to lose some of the original perceptual capabilities of their vision encoder; (4) the representation space in the lower layers (&lt;25%) plays a crucial role in determining performance and enhancing visual understanding. Lastly, based on the above observations, we suggest potential future directions for building better LLVMs and constructing more challenging evaluation benchmarks."
"16"	"autoregressive_visual_credit"	"Cambrian-1: A Fully Open, Vision-Centric Exploration of Multimodal LLMs"	"2024"	"credit_task_specific_absorption"	"openalex"	"2406.16860"	"https://doi.org/10.48550/arxiv.2406.16860"	"https://openalex.org/W4400024950"	"arXiv (Cornell University)"	"12"	"True"	"direct-generative-vlm;trainability-or-expressivity;mechanism-intervention"	"A. Wang;Adithya Iyer;Ellis Brown;Jihan Yang;Manoj Middepogu;Penghao Wu;Rob Fergus;Sai Charitha Akula;Saining Xie;Sanghyun Woo;Shengbang Tong;Shusheng Yang;Xichen Pan;Yann LeCun"	"http://arxiv.org/abs/2406.16860;https://arxiv.org/pdf/2406.16860;https://doi.org/10.48550/arxiv.2406.16860"	"We introduce Cambrian-1, a family of multimodal LLMs (MLLMs) designed with a vision-centric approach. While stronger language models can enhance multimodal capabilities, the design choices for vision components are often insufficiently explored and disconnected from visual representation learning research. This gap hinders accurate sensory grounding in real-world scenarios. Our study uses LLMs and visual instruction tuning as an interface to evaluate various visual representations, offering new insights into different models and architectures -- self-supervised, strongly supervised, or combinations thereof -- based on experiments with over 20 vision encoders. We critically examine existing MLLM benchmarks, address the difficulties involved in consolidating and interpreting results from various tasks, and introduce a new vision-centric benchmark, CV-Bench. To further improve visual grounding, we propose the Spatial Vision Aggregator (SVA), a dynamic and spatially-aware connector that integrates high-resolution vision features with LLMs while reducing the number of tokens. Additionally, we discuss the curation of high-quality visual instruction-tuning data from publicly available sources, emphasizing the importance of data source balancing and distribution ratio. Collectively, Cambrian-1 not only achieves state-of-the-art performance but also serves as a comprehensive, open cookbook for instruction-tuned MLLMs. We provide model weights, code, supporting tools, datasets, and detailed instruction-tuning and evaluation recipes. We hope our release will inspire and accelerate advancements in multimodal systems and visual representation learning."
"16"	"representation_trainability_ceiling"	"Towards Calibrated Robust Fine-Tuning of Vision-Language Models"	"2023"	"trainability_frozen_encoder"	"openalex"	"2311.01723"	"https://doi.org/10.48550/arxiv.2311.01723"	"https://openalex.org/W4388512451"	"arXiv (Cornell University)"	"1"	"False"	"direct-generative-vlm;formal-optimization-tool;directional-generalization"	"Changdae Oh;Choo, Jaegul;Han, Dongyoon;Hauptmann, Alexander;Hyesu Lim;Kyungwoo Song;Mijoo Kim;Yun, Sangdoo;Zhi-Qi Cheng"	"http://arxiv.org/abs/2311.01723;https://arxiv.org/pdf/2311.01723;https://doi.org/10.48550/arxiv.2311.01723"	"Improving out-of-distribution (OOD) generalization during in-distribution (ID) adaptation is a primary goal of robust fine-tuning of zero-shot models beyond naive fine-tuning. However, despite decent OOD generalization performance from recent robust fine-tuning methods, confidence calibration for reliable model output has not been fully addressed. This work proposes a robust fine-tuning method that improves both OOD accuracy and confidence calibration simultaneously in vision language models. Firstly, we show that both OOD classification and OOD calibration errors have a shared upper bound consisting of two terms of ID data: 1) ID calibration error and 2) the smallest singular value of the ID input covariance matrix. Based on this insight, we design a novel framework that conducts fine-tuning with a constrained multimodal contrastive loss enforcing a larger smallest singular value, which is further guided by the self-distillation of a moving-averaged model to achieve calibrated prediction as well. Starting from empirical evidence supporting our theoretical statements, we provide extensive experimental results on ImageNet distribution shift benchmarks that demonstrate the effectiveness of our theorem and its practical implementation."
"16"	"representation_trainability_ceiling"	"EvoPrompt: Guided Prompt Evolution for Vision-Language Models Adaptation"	"2026"	"trainability_adapter_expressivity"	"openalex"	"2603.09493"	""	"https://openalex.org/W7134992243"	"arXiv (Cornell University)"	"0"	"False"	"direct-generative-vlm;trainability-or-expressivity;mechanism-intervention"	"Enming Zhang;Jiayang Li;Yang Li;Yanlong Wang;Yanru Wu"	"http://arxiv.org/abs/2603.09493;https://arxiv.org/abs/2603.09493;https://arxiv.org/pdf/2603.09493"	"The adaptation of large-scale vision-language models (VLMs) to downstream tasks with limited labeled data remains a significant challenge. While parameter-efficient prompt learning methods offer a promising path, they often suffer from catastrophic forgetting of pre-trained knowledge. Toward addressing this limitation, our work is grounded in the insight that governing the evolutionary path of prompts is essential for forgetting-free adaptation. To this end, we propose EvoPrompt, a novel framework designed to explicitly steer the prompt trajectory for knowledge-preserving fine-tuning. Specifically, our approach employs a Modality-Shared Prompt Projector (MPP) to generate hierarchical prompts from a unified embedding space. Critically, an evolutionary training strategy decouples low-rank updates into directional and magnitude components, preserving early-learned semantic directions while only adapting their magnitude, thus enabling prompts to evolve without discarding foundational knowledge. This process is further stabilized by Feature Geometric Regularization (FGR), which enforces feature decorrelation to prevent representation collapse. Extensive experiments demonstrate that EvoPrompt achieves state-of-the-art performance in few-shot learning while robustly preserving the original zero-shot capabilities of pre-trained VLMs."
