score,title,year,families,backends,arxiv_ids,dois,openalex_ids,venues,types,cited_by_count,prior_search_duplicate,relevance_reasons,authors,urls,abstract
19,Think When Needed: Adaptive Reasoning-Driven Multimodal Embeddings with a Dual-LoRA Architecture,2026,gradient_routing,arxiv,2605.14448v1,,,,,0,True,autoregressive-lvlm;module-intervention;competition-routing;frozen-unfrozen,Guanghao Zhang;Hao Jiang;Longxiang Zhang;Pipei Huang;Weilong Dai,https://arxiv.org/abs/2605.14448v1;https://arxiv.org/pdf/2605.14448v1,"Multimodal large language models (MLLMs) have emerged as a powerful backbone for multimodal embeddings. Recent methods introduce chain-of-thought (CoT) reasoning into the embedding pipeline to improve retrieval quality, but remain costly in both model size and inference cost. They typically employ separate reasoner and embedder with substantial parameter overhead, and generate CoT indiscriminately for every input. However, we observe that for simple inputs, discriminative embeddings already perform well, and redundant reasoning can even mislead the model, degrading performance. To address these limitations, we propose Think When Needed (TWN), a unified multimodal embedding framework with adaptive reasoning. TWN introduces a dual-LoRA architecture that attaches reasoning and embedding adapters to a shared frozen backbone, detaching gradients at their interface to mitigate gradient conflicts introduced by joint optimization while keeping parameters close to a single model. Building on this, an adaptive think mechanism uses a self-supervised routing gate to decide per input whether to generate CoT, skipping unnecessary reasoning to reduce inference overhead and even improve retrieval quality. We further explore embedding-guided RL to optimize CoT quality beyond supervised training. On the 78 tasks of MMEB-V2, TWN achieves state-of-the-art embedding quality while being substantially more efficient than existing generative methods, requiring only 3-5% additional parameters relative to the backbone and up to 50% fewer reasoning tokens compared to the full generative mode."
17,DeCo: Decoupling Token Compression from Semantic Abstraction in Multimodal Large Language Models,2024,peft_modules,arxiv,2405.20985v1,,,,,0,False,autoregressive-lvlm;module-intervention;frozen-unfrozen;visual-target,Lean Wang;Lei Li;Linli Yao;Lu Hou;Shuhuai Ren;Xu Sun;Yuanxin Liu,https://arxiv.org/abs/2405.20985v1;https://arxiv.org/pdf/2405.20985v1,"The visual projector, which bridges the vision and language modalities and facilitates cross-modal alignment, serves as a crucial component in MLLMs. However, measuring the effectiveness of projectors in vision-language alignment remains under-explored, which currently can only be inferred from the performance of MLLMs on downstream tasks. Motivated by the problem, this study examines the projector module by interpreting the vision-language semantic flow within MLLMs. Specifically, we trace back the semantic relevance flow from generated language tokens to raw visual encoder patches and the intermediate outputs produced by projectors. Our findings reveal that compressive projectors (e.g., QFormer), abstract visual patches into a limited set of semantic concepts, such as objects or attributes, resulting in a 'double abstraction' phenomenon. This involves a first visual semantic abstraction by the projector referring to pre-defined query tokens, and a second extraction by the LLM based on text instructions. The double abstraction is inefficient in training and will result in cumulative vision semantics deficiency. To mitigate this issue, we propose the key insight of 'Decouple Compression from Abstraction (DeCo), that is compressing the visual token number at the patch level by projectors and allowing the LLM to handle visual semantic abstraction entirely. Consequently, we adopt a simple compressor, i.e., 2D Adaptive Pooling, to downsample visual patches in a parameter-free manner. Empirical evaluation demonstrates that DeCo surpasses traditional compressive projectors regarding both performance and efficiency. It achieves performance gains of 0.9%, 7.1%, and 2.9% across the MLLM Benchmarks, Visual Localization, and Open-ended VQA tasks with fewer trainable parameters and faster convergence speed."
16,Deep Residual Injection for Full-Spectrum Forensic Signal Perception in Multimodal Large Language Models,2026,peft_modules;visual_target_peft,openalex,2606.15880,,https://openalex.org/W7165063922,arXiv (Cornell University),preprint,0,False,autoregressive-lvlm;module-intervention;frozen-unfrozen;multi-query-hit,Bin Li;Bo Wang;Caiyong Piao;Kaiqing Lin;Ke-Yue Zhang;Rui Chen;Shouhong Ding;Taiping Yao;Y H Xiao;Yue Zhou;Zhiyuan Yan,https://arxiv.org/abs/2606.15880;https://arxiv.org/pdf/2606.15880,"Multimodal large language models (MLLMs) have been increasingly adopted in forensics for their robust semantic understanding. As AI-generated images become realistic, semantic-level inconsistencies alone are often insufficient for reliable detection. This motivates a critical question: whether MLLMs can achieve full-spectrum forensic signal perception, i.e., capturing low-level generator artifacts without sacrificing pre-trained semantic knowledge. We further perform a layer-wise analysis of forensic signal perception in MLLMs, showing that semantic information is primarily formed in the early-to-middle layers, whereas direct fine-tuning for artifact learning disrupts these semantic representations. Based on this insight, we propose Deep Visual Residual MLLM (Deep-VRM) to preserve early semantic processing while injecting artifact-specific visual signals as a residual path into an intermediate layer, where they are fused with semantic token representations and propagated through subsequent trainable layers. This enables later layers to jointly model semantic reasoning and signal-level forensic cues, and surprisingly, the model learns to adaptively leverage different levels of forensic signals depending on the input, achieving robust and generalizable detection performance. Extensive experiments show that our method achieves state-of-the-art across most benchmarks. The code and data are available at https://github.com/KQL11/Deep-VRM."
16,Dynamic Cross-Modal Prompt Generation for Multimodal Continual Instruction Tuning,2026,module_tuning;peft_modules,arxiv;openalex,2605.10765;2605.10765v1,,https://openalex.org/W7161090747,arXiv (Cornell University),preprint,0,False,autoregressive-lvlm;module-intervention;frozen-unfrozen;multi-query-hit,Da-Wei Zhou;Tao Hu,https://arxiv.org/abs/2605.10765;https://arxiv.org/abs/2605.10765v1;https://arxiv.org/pdf/2605.10765;https://arxiv.org/pdf/2605.10765v1,"Multimodal Large Language Models (MLLMs) achieve strong performance through instruction tuning, yet real-world deployment often requires continual capability expansion across sequential tasks. In such scenarios, Multimodal Continual Instruction Tuning (MCIT) aims to acquire new capabilities while limiting catastrophic forgetting. Existing methods mainly follow a module-composition paradigm: they maintain task-level prompts or LoRA experts and dynamically route or aggregate a subset of them at inference. However, samples within the same task can still differ substantially in visual scenes, question intents, and reasoning demands. This motivates instance-level adaptation to individual query-image pairs rather than only selecting or combining task-level modules. To this end, we propose DRAPE (Dynamic Cross-Modal Prompt Generation), a prompt-learning framework that synthesizes continuous instance-specific soft prompts for MCIT. Instead of selecting prompts from a fixed pool, DRAPE derives prompt queries from the textual instruction and cross-attends to visual patch features, producing query-image conditioned prompts that are prepended to the frozen LLM. To mitigate forgetting during sequential updates, DRAPE applies null-space gradient projection to the shared projector and uses CLIP-based prototype routing for task-label-free generator selection at inference. Extensive experiments on MCIT benchmarks show that DRAPE achieves state-of-the-art performance among representative prompt-based and LoRA-based continual-learning baselines."
15,X2-DFD: A framework for eXplainable and eXtendable Deepfake Detection,2024,peft_modules;visual_target_peft,openalex,2410.06126,https://doi.org/10.48550/arxiv.2410.06126,https://openalex.org/W4403344598,arXiv (Cornell University),preprint,1,False,autoregressive-lvlm;module-intervention;matched-control-language;multi-query-hit,"Cheng, Guangliang;Lyu, Siwei;Wu, Baoyuan;Yize Chen;Zhao, Kangran;Zhiyuan Yan",http://arxiv.org/abs/2410.06126;https://arxiv.org/pdf/2410.06126;https://doi.org/10.48550/arxiv.2410.06126,"This paper proposes X2-DFD, an eXplainable and eXtendable framework based on multimodal large-language models (MLLMs) for deepfake detection, consisting of three key stages. The first stage, Model Feature Assessment, systematically evaluates the detectability of forgery-related features for the MLLM, generating a prioritized ranking of features based on their intrinsic importance to the model. The second stage, Explainable Dataset Construction, consists of two key modules: Strong Feature Strengthening, which is designed to enhance the model's existing detection and explanation capabilities by reinforcing its well-learned features, and Weak Feature Supplementing, which addresses gaps by integrating specific feature detectors (e.g., low-level artifact analyzers) to compensate for the MLLM's limitations. The third stage, Fine-tuning and Inference, involves fine-tuning the MLLM on the constructed dataset and deploying it for final detection and explanation. By integrating these three stages, our approach enhances the MLLM's strengths while supplementing its weaknesses, ultimately improving both the detectability and explainability. Extensive experiments and ablations, followed by a comprehensive human study, validate the improved performance of our approach compared to the original MLLMs. More encouragingly, our framework is designed to be plug-and-play, allowing it to seamlessly integrate with future more advanced MLLMs and specific feature detectors, leading to continual improvement and extension to face the challenges of rapidly evolving deepfakes."
14,Honeybee: Locality-enhanced Projector for Multimodal LLM,2023,peft_modules,openalex,2312.06742,https://doi.org/10.48550/arxiv.2312.06742,https://openalex.org/W4389713827,arXiv (Cornell University),preprint,3,False,autoregressive-lvlm;module-intervention;visual-target,Byungseok Roh;Jonghwan Mun;Junbum Cha;Wooyoung Kang,http://arxiv.org/abs/2312.06742;https://arxiv.org/pdf/2312.06742;https://doi.org/10.48550/arxiv.2312.06742,"In Multimodal Large Language Models (MLLMs), a visual projector plays a crucial role in bridging pre-trained vision encoders with LLMs, enabling profound visual understanding while harnessing the LLMs' robust capabilities. Despite the importance of the visual projector, it has been relatively less explored. In this study, we first identify two essential projector properties: (i) flexibility in managing the number of visual tokens, crucial for MLLMs' overall efficiency, and (ii) preservation of local context from visual features, vital for spatial understanding. Based on these findings, we propose a novel projector design that is both flexible and locality-enhanced, effectively satisfying the two desirable properties. Additionally, we present comprehensive strategies to effectively utilize multiple and multifaceted instruction datasets. Through extensive experiments, we examine the impact of individual design choices. Finally, our proposed MLLM, Honeybee, remarkably outperforms previous state-of-the-art methods across various benchmarks, including MME, MMBench, SEED-Bench, and LLaVA-Bench, achieving significantly higher efficiency. Code and models are available at https://github.com/kakaobrain/honeybee."
14,ArtGPT-4: Towards Artistic-understanding Large Vision-Language Models with Enhanced Adapter,2023,frozen_encoder,openalex,2305.07490,https://doi.org/10.48550/arxiv.2305.07490,https://openalex.org/W4376632836,arXiv (Cornell University),preprint,2,False,autoregressive-lvlm;module-intervention;visual-target,"He, Yunhong;Sun, Lichao;Wang, Kun;Ye, Yanfang;Zhengqing Yuan",http://arxiv.org/abs/2305.07490;https://arxiv.org/pdf/2305.07490;https://doi.org/10.48550/arxiv.2305.07490,"The success of large language models (LLMs) has inspired an emerging research field of multimodal learning. However, a grand challenge of exploiting LLMs for multimodal learning is the size of pre-trained LLMs which are always with billions of parameters. To tackle this challenge, models such as MiniGPT-4 and LLaVA have been developed to fine-tune the pre-trained models using fewer parameters. Despite their promising performance, these models remain limited in their understanding of artistic imagery. To facilitate better artistic-understanding, in this paper, we propose ArtGPT-4, a pioneering large vision-language model tailored to address the limitations of existing models in artistic comprehension. The key innovation of ArtGPT-4 lies in its craft for the sophisticated challenge of artistic image comprehension, setting it apart from other models that overlook fine details for broader themes. Specifically, it works by integrating some specialized adapter layers into the LLM, enabling the model to more efficiently and effectively parse and interpret complex visual tokens, instead of fine-tuning the whole LLM as in the existing method. ArtGPT-4 has demonstrated its outstanding performance on the efficiency: utilizing a Tesla A100 device, its training can be completed in mere 2 hours with an image-text pair dataset comprising approximately 0.52M entries. Additionally, ArtGPT-4 has also achieved state-of-the-art performance on the ArtEmis and ArtEmis-v2.0 datasets as well as the benchmarks established in this work, lagging behind professional artists' descriptions by a negligible 0.15 points on a 6-point scale. The outstanding performance of ArtGPT-4 shows that it can render images with an artistic-understanding and convey the emotions they inspire, mirroring human interpretation. The code and the pre-trained model are accessible in \url{https://github.com/DLYuanGod/ArtGPT-4}."
14,CROME: Cross-Modal Adapters for Efficient Multimodal LLM,2024,peft_modules,openalex,2408.06610,https://doi.org/10.48550/arxiv.2408.06610,https://openalex.org/W4402427013,arXiv (Cornell University),preprint,1,False,autoregressive-lvlm;module-intervention;frozen-unfrozen,Sayna Ebrahimi;Sercan Ö. Arık;Tejas Nama;Tomas Pfister,http://arxiv.org/abs/2408.06610;https://arxiv.org/pdf/2408.06610;https://doi.org/10.48550/arxiv.2408.06610,"Multimodal Large Language Models (MLLMs) demonstrate remarkable image-language capabilities, but their widespread use faces challenges in cost-effective training and adaptation. Existing approaches often necessitate expensive language model retraining and limited adaptability. Additionally, the current focus on zero-shot performance improvements offers insufficient guidance for task-specific tuning. We propose CROME, an efficient vision-language instruction tuning framework. It features a novel gated cross-modal adapter that effectively combines visual and textual representations prior to input into a frozen LLM. This lightweight adapter, trained with minimal parameters, enables efficient cross-modal understanding. Notably, CROME demonstrates superior zero-shot performance on standard visual question answering and instruction-following benchmarks. Moreover, it yields fine-tuning with exceptional parameter efficiency, competing with task-specific specialist state-of-the-art methods. CROME demonstrates the potential of pre-LM alignment for building scalable, adaptable, and parameter-efficient multimodal models."
14,Learn from Downstream and Be Yourself in Multimodal Large Language Model Fine-Tuning,2024,peft_modules,openalex,2411.10928,https://doi.org/10.48550/arxiv.2411.10928,https://openalex.org/W4404570287,arXiv (Cornell University),preprint,1,False,autoregressive-lvlm;module-intervention;frozen-unfrozen,"Bo Du;Dacheng Tao;Guancheng Wan;He‐Ping Li;Jian Liang;Mang Ye;Wenke Huang;Zekun Shi;Zhu, Didi",http://arxiv.org/abs/2411.10928;https://arxiv.org/pdf/2411.10928;https://doi.org/10.48550/arxiv.2411.10928,"Multimodal Large Language Model (MLLM) have demonstrated strong generalization capabilities across diverse distributions and tasks, largely due to extensive pre-training datasets. Fine-tuning MLLM has become a common practice to improve performance on specific downstream tasks. However, during fine-tuning, MLLM often faces the risk of forgetting knowledge acquired during pre-training, which can result in a decline in generalization abilities. To balance the trade-off between generalization and specialization, we propose measuring the parameter importance for both pre-trained and fine-tuning distributions, based on frozen pre-trained weight magnitude and accumulated fine-tuning gradient values. We further apply an importance-aware weight allocation strategy, selectively updating relatively important parameters for downstream tasks. We conduct empirical evaluations on both image captioning and visual question-answering tasks using various MLLM architectures. The comprehensive experimental analysis demonstrates the effectiveness of the proposed solution, highlighting the efficiency of the crucial modules in enhancing downstream specialization performance while mitigating generalization degradation in MLLM Fine-Tuning."
14,Matryoshka Query Transformer for Large Vision-Language Models,2024,frozen_encoder,openalex,2405.19315,https://doi.org/10.48550/arxiv.2405.19315,https://openalex.org/W4399198756,arXiv (Cornell University),preprint,1,False,autoregressive-lvlm;module-intervention;visual-target,Amita Kamath;Kai-Wei Chang;Liunian Harold Li;Nanyun Peng;Wenbo Hu;Zi-Yi Dou,http://arxiv.org/abs/2405.19315;https://arxiv.org/pdf/2405.19315;https://doi.org/10.48550/arxiv.2405.19315,"Large Vision-Language Models (LVLMs) typically encode an image into a fixed number of visual tokens (e.g., 576) and process these tokens with a language model. Despite their strong performance, LVLMs face challenges in adapting to varying computational constraints. This raises the question: can we achieve flexibility in the number of visual tokens to suit different tasks and computational resources? We answer this with an emphatic yes. Inspired by Matryoshka Representation Learning, we introduce the Matryoshka Query Transformer (MQT), capable of encoding an image into m visual tokens during inference, where m can be any number up to a predefined maximum. This is achieved by employing a query transformer with M latent query tokens to compress the visual embeddings. During each training step, we randomly select m &lt;= M latent query tokens and train the model using only these first m tokens, discarding the rest. Combining MQT with LLaVA, we train a single model once, and flexibly and drastically reduce the number of inference-time visual tokens while maintaining similar or better performance compared to training independent models for each number of tokens. Our model, MQT-LLAVA, matches LLaVA-1.5 performance across 11 benchmarks using a maximum of 256 tokens instead of LLaVA's fixed 576. Reducing to 16 tokens (8x less TFLOPs) only sacrifices the performance by 2.4 points on MMBench. On certain tasks such as ScienceQA and MMMU, we can even go down to only 2 visual tokens with performance drops of just 3% and 6% each. Our exploration of the trade-off between the accuracy and computational cost brought about by the number of visual tokens facilitates future research to achieve the best of both worlds."
